Clock Rate: 1 ticks per second
----------------------------------------
INTERNAL | 1741107276.416905 | 0 | 1
INTERNAL | 1741107277.417671 | 0 | 2
RECEIVE B | 1741107278.422682 | 1 | 11.0
RECEIVE B | 1741107279.427739 | 3 | 15.0
RECEIVE B | 1741107280.432787 | 2 | 16.0
RECEIVE B | 1741107281.437814 | 1 | 19.0
RECEIVE B | 1741107282.4388428 | 6 | 20.0
RECEIVE B | 1741107283.444206 | 10 | 34.0
RECEIVE C | 1741107284.44861 | 10 | 35.0
RECEIVE C | 1741107285.453677 | 12 | 36.0
RECEIVE C | 1741107286.454262 | 14 | 39.0
RECEIVE B | 1741107287.454966 | 15 | 40.0
RECEIVE C | 1741107288.4596422 | 15 | 41.0
RECEIVE C | 1741107289.464671 | 14 | 42.0
RECEIVE B | 1741107290.469748 | 13 | 43.0
RECEIVE C | 1741107291.4704158 | 14 | 44.0
RECEIVE B | 1741107292.475442 | 13 | 46.0
RECEIVE C | 1741107293.480515 | 13 | 47.0
RECEIVE B | 1741107294.485536 | 13 | 51.0
RECEIVE B | 1741107295.490262 | 14 | 54.0
RECEIVE C | 1741107296.495291 | 16 | 55.0
RECEIVE C | 1741107297.500333 | 16 | 56.0
RECEIVE C | 1741107298.50541 | 18 | 61.0
RECEIVE C | 1741107299.510271 | 19 | 62.0
RECEIVE B | 1741107300.515302 | 20 | 65.0
RECEIVE C | 1741107301.520386 | 21 | 67.0
RECEIVE B | 1741107302.5230238 | 22 | 71.0
RECEIVE C | 1741107303.5280771 | 25 | 77.0
RECEIVE B | 1741107304.533099 | 25 | 93.0
RECEIVE C | 1741107305.538197 | 26 | 96.0
RECEIVE B | 1741107306.540122 | 27 | 105.0
RECEIVE C | 1741107307.545172 | 29 | 114.0
RECEIVE C | 1741107308.548171 | 31 | 118.0
RECEIVE C | 1741107309.553237 | 33 | 119.0
RECEIVE C | 1741107310.556693 | 36 | 123.0
RECEIVE B | 1741107311.560809 | 37 | 125.0
RECEIVE B | 1741107312.562539 | 37 | 127.0
RECEIVE B | 1741107313.564605 | 38 | 129.0
RECEIVE C | 1741107314.5664818 | 41 | 136.0
RECEIVE C | 1741107315.57105 | 42 | 138.0
RECEIVE C | 1741107316.576071 | 41 | 139.0
RECEIVE C | 1741107317.5799181 | 43 | 143.0
RECEIVE B | 1741107318.580866 | 43 | 146.0
RECEIVE C | 1741107319.585921 | 43 | 147.0
RECEIVE C | 1741107320.588701 | 43 | 149.0
RECEIVE C | 1741107321.59373 | 43 | 152.0
RECEIVE B | 1741107322.595238 | 43 | 156.0
RECEIVE B | 1741107323.600213 | 45 | 160.0
RECEIVE B | 1741107324.604276 | 47 | 163.0
RECEIVE C | 1741107325.604725 | 50 | 166.0
RECEIVE C | 1741107326.609727 | 50 | 170.0
RECEIVE B | 1741107327.614967 | 49 | 171.0
RECEIVE C | 1741107328.6181738 | 50 | 172.0
RECEIVE C | 1741107329.62319 | 51 | 173.0
RECEIVE B | 1741107330.6281972 | 52 | 179.0
RECEIVE B | 1741107331.633267 | 54 | 182.0
RECEIVE C | 1741107332.638286 | 56 | 184.0
RECEIVE B | 1741107333.640377 | 56 | 185.0
RECEIVE C | 1741107334.641844 | 58 | 190.0
RECEIVE B | 1741107335.645679 | 57 | 191.0
RECEIVE B | 1741107336.65076 | 58 | 194.0
RECEIVE B | 1741107337.65534 | 59 | 196.0
RECEIVE B | 1741107338.660393 | 59 | 197.0
RECEIVE C | 1741107339.6625679 | 59 | 201.0
RECEIVE C | 1741107340.663776 | 58 | 203.0
